x,y
24.0,164.64835588
50.0,242.39338915
15.0,151.65596902
38.0,209.75919409
87.0,361.86695167
36.0,197.39162479
12.0,132.34269049
81.0,342.2901958
25.0,173.83645441
5.0,120.889957213
16.0,133.71272014
16.0,140.59870618
24.0,173.80971697
39.0,218.20149928
54.0,245.31261514
60.0,285.09700957
26.0,180.78497254
73.0,311.2156165
29.0,188.02277224
31.0,175.92685576
68.0,307.08803016999997
87.0,354.98454109
58.0,271.12930915
54.0,251.7765973
84.0,349.08316606
58.0,271.17258118
49.0,243.87650022999998
20.0,173.02679296000002
90.0,384.05464843000004
48.0,244.11912088
4.0,121.24397014
25.0,165.97719720999999
42.0,226.99454992
0.0,100.987268329
60.0,285.76911094
93.0,373.53149269
39.0,218.36074042
7.0,117.988208821
21.0,167.77047826
68.0,283.54133242
84.0,355.08336871
0.0,96.14106733
58.0,285.82821886
19.0,165.88100041
36.0,200.98582578999998
19.0,152.82838726
59.0,275.68916920000004
51.0,258.47172286
19.0,166.4090443
33.0,205.22402059
85.0,358.56466933
44.0,227.89683091
5.0,112.29453232
59.0,283.6689592
14.0,153.12032728
9.0,135.55937722
75.0,340.69155085
69.0,287.94795223
10.0,128.850579412
17.0,160.08393096999998
58.0,285.25322289999997
74.0,314.83030909
21.0,171.31463868999998
51.0,255.70426105
19.0,167.98221046
50.0,250.08693781
24.0,180.06383104
0.0,101.130735697
12.0,120.41925700600001
75.0,332.01958003
21.0,186.70780627
64.0,300.2039824
5.0,102.122531914
58.0,271.23245149
32.0,185.24359588
41.0,233.38816369
7.0,122.378817994
4.0,106.950124336
5.0,114.785638561
49.0,257.51008221999996
90.0,373.57328869
3.0,125.467492978
11.0,120.890115901
32.0,195.93969877
83.0,344.28436150000005
25.0,167.87096266
83.0,335.57515261000003
26.0,177.42142171
76.0,320.53245325
95.0,375.32640100000003
53.0,247.65590548
77.0,341.51336161
42.0,250.16908369
25.0,176.38877646999998
54.0,265.96492792000004
55.0,277.3734664
0.0,103.302060076
73.0,315.94062357999996
35.0,190.40999224
86.0,351.65282215
90.0,369.73014256
13.0,125.006963728
46.0,243.65166883
46.0,235.01192239
32.0,193.46993722
8.0,127.571127046
71.0,324.49405009
28.0,190.69532821
24.0,172.65742081000002
56.0,273.61657453
49.0,251.85185176
79.0,336.02410129
90.0,358.71012099999996
89.0,367.31227765
41.0,229.79785246
27.0,180.04819831
58.0,278.39149123
26.0,186.70167478000002
31.0,193.901248
70.0,313.42997979999996
71.0,305.4217618
39.0,219.94716567999998
7.0,112.22732843200001
48.0,243.57452626
56.0,253.61170651
45.0,231.81016390000002
41.0,214.40880037
3.0,110.723984896
37.0,209.2419874
24.0,166.65725569
68.0,290.59377159999997
47.0,249.60108361
27.0,164.59420027
68.0,292.17130702
74.0,312.32649526
95.0,376.47249286
79.0,343.66777468
21.0,175.30342201
95.0,382.26560191
54.0,259.75498495
56.0,277.48709863
80.0,325.72445283999997
26.0,184.66977499
25.0,175.99971184
8.0,119.093847109
95.0,386.3827648
94.0,365.92551268
54.0,276.10956079
7.0,120.446473837
99.0,398.21184028
36.0,198.31147747
48.0,241.17603640000002
65.0,281.59965334000003
42.0,220.92789574
93.0,368.26668055
86.0,360.46396198
26.0,178.35092629000002
51.0,259.79972788
100.0,389.86983664
94.0,387.35323081
6.0,118.141860061
24.0,173.42163724
75.0,327.90534289
7.0,111.488143027
53.0,257.55111049000004
73.0,318.41372581
16.0,142.32997288
80.0,342.58261186
77.0,331.05964645
89.0,358.80917332
80.0,331.41206397999997
55.0,254.42948428
19.0,152.03672593
56.0,273.18560716
47.0,232.45088182
56.0,277.73088228999995
2.0,96.840173167
82.0,360.37006762
57.0,280.42095574
44.0,232.12666174
26.0,173.5682464
52.0,258.85916563
41.0,229.48400494
44.0,237.02687728
3.0,91.507751497
31.0,187.59079534
97.0,389.49437203
21.0,167.6359696
17.0,160.32224299
7.0,112.106290759
61.0,283.43705554
10.0,141.91490959
52.0,266.03589679
10.0,136.55323498
65.0,292.00232974
71.0,310.95649660000004
4.0,97.189314859
24.0,156.74266828
26.0,171.62770993
51.0,242.7326083
42.0,229.8208276
62.0,299.44836265
74.0,327.17816587000004
77.0,341.78930013999997
3.0,93.292360444
50.0,241.13964868
24.0,164.78906725000002
37.0,198.62676889
58.0,273.87348868000004
52.0,256.74280081
27.0,173.74860705999998
14.0,136.37721415
100.0,400.0474078
72.0,322.14047974
5.0,104.835842401
71.0,311.10508921
54.0,256.80495205
84.0,349.3858498
42.0,230.94295144
54.0,248.34356278
74.0,317.9070097
54.0,258.34391923
53.0,271.33585408
78.0,337.31518869999996
97.0,404.86856439999997
49.0,260.7476206
71.0,306.76417891
48.0,240.9000883
51.0,253.07928604
89.0,356.56220652999997
99.0,398.55057268
93.0,383.91733768
49.0,240.35073226
18.0,163.63965877
65.0,275.11798011999997
83.0,361.66179031
100.0,407.4903577
41.0,231.64943004999998
52.0,259.19967271
29.0,179.00394355
97.0,395.56026801999997
7.0,128.201492737
51.0,258.82080097
58.0,261.49062631
50.0,237.83533426000002
67.0,295.03982080000003
89.0,359.5208752
76.0,326.89842388
35.0,210.34105081
99.0,401.5986748
31.0,187.13398408
52.0,255.11057299
11.0,127.599864154
66.0,315.10047543999997
50.0,249.47902186000002
39.0,212.49913288
60.0,260.95254049
35.0,201.77685895000002
53.0,249.77919055
14.0,124.444462786
49.0,249.17077110999998
16.0,148.50138271
76.0,325.90099006
13.0,128.732105704
51.0,245.14265071
70.0,318.85995013
98.0,377.78721559
86.0,366.56570758
100.0,397.01085313
46.0,235.28318713
51.0,240.83088052
50.0,245.00348815
91.0,384.76988722
48.0,243.34495744
81.0,343.86882238
38.0,213.49465063000002
40.0,219.07555756
79.0,330.77994562000003
96.0,364.08971593
60.0,270.97536616
70.0,317.76788149000004
44.0,234.94310326
11.0,135.97052923
6.0,105.758539984
5.0,104.886478219
72.0,298.83239965
55.0,272.61661764999997
95.0,384.10873231
41.0,223.64409712
25.0,175.12507729
1.0,111.334629742
55.0,251.52135337
4.0,129.047225458
48.0,246.64442824
55.0,263.21045797
75.0,315.10699468
68.0,308.07545164
100.0,399.95474773
25.0,178.09971154
75.0,326.46730921
34.0,209.78869168
38.0,222.85306573
92.0,360.34948800999996
21.0,146.52103552
88.0,357.58233613000004
75.0,337.61830339
76.0,342.41931298
44.0,245.79151849
10.0,141.80245147
21.0,181.9153537
16.0,142.00678891
32.0,201.02248
13.0,139.34838652
26.0,174.29947579
70.0,321.05433628000003
77.0,332.59448623000003
77.0,328.73509588
88.0,364.1736793
35.0,205.07337397
24.0,164.97573217000001
17.0,152.01044686
91.0,383.10336871
32.0,200.30188920999998
36.0,197.56538197
89.0,371.73223894
69.0,313.76902378
30.0,193.69638568
6.0,116.19652018299999
22.0,155.68724172999998
67.0,315.91363114
9.0,115.677278698
74.0,320.78930260000004
50.0,249.30846949
85.0,348.07262539
3.0,104.956927267
0.0,88.490043568
59.0,286.11434668000004
62.0,283.79543743
17.0,139.74974884
90.0,365.85018082
23.0,163.40966584
19.0,171.55052425
93.0,376.03610215
14.0,130.80136783
58.0,262.44044848
87.0,361.01937139
37.0,213.08342056
20.0,158.86835962
35.0,204.35683021
63.0,286.09572949
56.0,258.01011403
62.0,274.27094428
98.0,391.58346463
90.0,371.50465894
51.0,251.53703860000002
93.0,383.35635613
22.0,163.32383908
38.0,212.08895293
13.0,130.85724532
98.0,388.14797248
99.0,400.28610910000003
31.0,191.8189501
94.0,388.57001626
73.0,313.92484102
37.0,203.77933129000002
23.0,157.06998628
11.0,132.30009064
88.0,371.7399604
47.0,246.15363037
79.0,336.22419292
91.0,355.70476822
71.0,314.97369892
10.0,126.816971662
39.0,219.68818138
92.0,375.55273348
99.0,397.33601125
28.0,178.66589457999999
32.0,199.64752678000002
32.0,207.17178073000002
75.0,330.65813485
99.0,397.92623700999997
27.0,177.31483222
64.0,303.55508220999997
98.0,395.51113252
38.0,193.33995685
46.0,236.53513084000002
13.0,137.96613424
96.0,386.68196098
9.0,128.579294923
34.0,208.32679627000002
49.0,239.30884953999998
1.0,88.48005664
50.0,246.91906111
94.0,379.75916497
27.0,170.42952904
20.0,151.40653396
12.0,143.67688432
45.0,224.61978187
91.0,374.94191656
61.0,298.49957695
10.0,127.69257246699999
47.0,242.24133679
33.0,204.29324683
84.0,358.32389911
24.0,165.43803862
48.0,246.69891853000001
48.0,240.34325914
9.0,138.73985641000002
93.0,383.65609429
99.0,384.91206259
8.0,107.13751744300001
20.0,164.43948964
38.0,207.39386386
78.0,346.2291409
81.0,336.61293142
42.0,241.7477275
95.0,388.56556975
78.0,335.15475781
44.0,228.82822191999998
68.0,293.29694785000004
87.0,352.63574455
58.0,271.9209349
52.0,257.56304308
26.0,177.2320729
75.0,326.26850203000004
48.0,260.87569021
71.0,325.43398924
77.0,322.36454533
34.0,208.74421729
24.0,160.64997694
70.0,300.84274354
29.0,202.21834762
76.0,319.41550135
98.0,378.57787465
28.0,185.10381424
87.0,356.77926181
9.0,132.05361265
87.0,358.32125872
33.0,199.66094254
64.0,298.28690266
17.0,157.91459637999998
49.0,246.53626249
95.0,381.19528936
75.0,326.37275842
89.0,373.72717678000004
81.0,361.47072559
25.0,176.61258499000002
47.0,238.19888434
50.0,248.95832983
5.0,122.14673249500001
68.0,313.33569805
84.0,350.51711563000003
8.0,126.373419679
41.0,199.91916709
26.0,179.21087572
89.0,375.18882178
78.0,347.59092157
34.0,210.03288199
92.0,360.95351065
27.0,197.04352525000002
12.0,150.35061922
2.0,104.729753149
22.0,152.38544230000002
0.0,106.348339087
26.0,173.04412996
50.0,244.88473594
84.0,356.56436358999997
70.0,321.14304337
66.0,289.45568491
42.0,215.38641052
19.0,158.41302364
94.0,382.22284675
71.0,303.76153858
19.0,167.74288723
16.0,148.04889667
49.0,245.29923658
29.0,189.0020797
29.0,179.96698984
86.0,358.84620216999997
50.0,252.46914772000002
86.0,365.71755139
30.0,197.79942235
23.0,163.07408104
20.0,162.18684937
16.0,161.14153561
57.0,271.75540459
8.0,120.902611162
8.0,130.720255
62.0,294.84523264
55.0,266.07681745
30.0,193.73096766999998
86.0,372.16146454
62.0,276.250381
51.0,267.55009594
61.0,280.59777607
86.0,355.09886236
61.0,281.16469255
21.0,155.34039361
81.0,346.56517741
97.0,382.88900320000005
5.0,123.046073758
61.0,283.05574267
47.0,260.81686648000004
98.0,383.43186403
30.0,183.8937841
63.0,287.66987755
0.0,104.218763242
100.0,405.10102359999996
18.0,141.54921964
30.0,186.99307944999998
98.0,397.12947078999997
16.0,146.68406542
22.0,173.90585178999999
55.0,261.95180122
43.0,228.74349184
75.0,322.88986336
91.0,373.51038649
46.0,248.27322628
85.0,347.43050557000004
55.0,268.45911859
36.0,211.51189392999999
49.0,239.10785986
94.0,391.07150368
43.0,222.49546312
22.0,172.25494939
37.0,223.43159074
24.0,165.92164198
95.0,402.222691
61.0,283.59914788000003
75.0,323.18551005999996
68.0,307.13131519
58.0,270.06156376
5.0,117.581175145
53.0,267.16064068000003
80.0,337.66065448
83.0,358.90532551
25.0,175.80915658
34.0,208.99883341
26.0,182.96722684
90.0,384.39071593
60.0,276.02100013
49.0,268.47803412999997
19.0,155.22758163999998
92.0,358.80810964
29.0,179.78308585
8.0,125.35756047699999
57.0,268.54394554
29.0,182.96358007
19.0,162.62175355
81.0,333.50063317
50.0,250.05363475000001
15.0,127.87256876800001
70.0,325.0854175
39.0,214.9113094
43.0,234.12359214999998
21.0,167.53049725
98.0,407.4878356
86.0,360.30535732
16.0,141.69245734
